,text,user,location,date,sentiment
549,"I really want new Disney Pins, but I'm so scared to get anything like that from @shopDisney right now because of th… https://t.co/bgzCUR2v9k",ThisIsJordanKay,"Grand Rapids, MI",2020-06-07,0
528,"Celebrate the 65th Anniversary of ""Lady &amp; the Tramp"" with these 3 adorable LE 4000 cameo pins… https://t.co/0QY92EbXNO",disney_dooney,,2020-06-07,4
527,That's no moon! That a Pewter Container Death Star! https://t.co/rnQB857NKR,sfsignal,"Houston, TX",2020-06-07,4
526,"@shopDisney my order arrived with missing parts, can you help me initiate a return for the order? #shopDisneySupport",Ancefan87Tr,Chicago,2020-06-07,0
525,"@DLPHelp @vanitynightmare @DisneyParis_EN @Disney @shopDisney @vanitynightmare You had no right, adding a tweet to… https://t.co/SkZmdNOJb9",LouiseS67992560,Enfield,2020-06-07,4
524,"Is there a reason why @artemisfowl received only white character toys? I understand production hell, but was kinda… https://t.co/nKFl7O6UL3",RogerRadcliffe,Gallifrey,2020-06-07,0
523,@shopDisney bring these back in stock :( I don’t feel like spending 400$ on eBay for them https://t.co/zCP178Yuy1,grandelovesbieb,J followed 12-25-19 ♡ ,2020-06-07,0
522,@shopDisney is there an issue with your checkout?  I've been trying to complete a purchase all morning and it just spins...,MrsHampshire,"ÜT: 27.931049,-82.331975",2020-06-07,4
521,@shopDisney will you be getting the Disney cruise sequin loungefly backpack back in stock?,herewegoagain91,,2020-06-07,4
520,#WeekendRewind: The new Dooney &amp; Bourke Hello Mate Collection inspired by EPCOT's United Kingdom pavilion is now av… https://t.co/dofEGtr21a,laughing_place,"Orlando, FL",2020-06-07,4
519,@shopDisney hi will you be getting the small bean bag Donald Duck and goofy in online soon? My little girl is desperate for these x,_laurynsmithh,"Falkirk, Scotland",2020-06-07,4
518,"***New Deal***
Weekend Sale on Sale at Shop Disney: Up to 85% off + Take an Extra 20% off
https://t.co/uchFc55CSd… https://t.co/6O86NvtDPW",TheInStockRoom,⬇️Latest Deals⬇️HappySavings⬇️,2020-06-07,4
517,@AdeleScalia how about these https://t.co/o67kXdY4Pw https://t.co/Jk6kAjt922,StolenMonkey86,"Columbia, MD",2020-06-07,4
516,"@shopDisney when will the ink and paint men’s shirts of the three caballeros be restocked for XL sizes, I’m desperate to buy one!!",blockheadjorge,,2020-06-07,0
515,@shopDisney we need a Minnie physician! Doctors can be women too and we need this as an option! Thank you for consi… https://t.co/klI446PY42,HeatherGodaleMD,"Uniontown, OH",2020-06-07,0
514,@jkbjournalist @KendraScott and lots of fun @shopDisney options!,joanneintexas,"Texas, USA",2020-06-07,4
529,"Did you buy anything from the new shopdisneyuk Pride collection?

#shopdisney #pride #pride2020 #disneycommunity… https://t.co/Kfh7oTl68b",WorldOf_DLP,"England, United Kingdom",2020-06-07,4
530,"@WDWNT “Guests can find these items on shopDisney, subject to availability.” Except they can’t.",cjwestby08,,2020-06-07,0
548,"Disney World just announced changes to their merchandise operation as the resorts prepare to reopen, including shop… https://t.co/2STDCcf9gK",laughing_place,"Orlando, FL",2020-06-07,0
532,New beach towel for enjoying the warmer weather at home. Good size and quality. Now I can lay in the sun in style h… https://t.co/y8eLLTddCu,OliverCuell,,2020-06-07,4
547,@Nicolebelleca @shopDisney I just posted the haul 😍😍😍,SasakiTime,"Orange County, CA",2020-06-07,4
546,@TheMouseAndMore Is this on ShopDisney?? My friend would love this.,BridgetClemen19,,2020-06-07,4
545,@SasakiTime @shopDisney That Marvel jacket! Wow! 😍,Nicolebelleca,"California, USA",2020-06-07,4
544,@shopDisney my daughter is having a full on meltdown tonight because she can’t call #Mickey and #Minnie anymore.… https://t.co/NnSHawX5xP,iused2lovehim2,"Pennsylvania, USA",2020-06-07,0
543,@shopDisney Do these come out at 10 am eastern?  Waiting for June.,LLife71,,2020-06-07,4
542,"@FiBelleFi I get that. But ShopDisney is a NIGHTMARE for limited edition merch sales, as everyone knows.",pinkbunnyr,La La Land,2020-06-07,0
541,@SasakiTime @shopDisney The allergic to humans is the real winner. You should propose this as the new uniform for the ride!,Mountain_O,"Flagstaff, AZ",2020-06-07,4
531,"@RickybIV @WDWNT If you read the article, it says all limited edition will be avail on ShopDisney NOT in the park.… https://t.co/V159M8ceuW",CA_Corneille,Hockey Island/Dagobah,2020-06-07,0
539,"@shopDisney I just got my long awaited shipment of ""pins"". And wouldn't you know it. It's empty. Box was not sealed… https://t.co/MZmpi0D85R",leitgo65,Kamino,2020-06-07,0
538,@Gap @UncommonGoods @shopDisney for adorable kids face masks that also give back and are making an impact!⭐️… https://t.co/zJFUhY5U8i,EHKidsHealth,"Toronto, Ontario",2020-06-07,4
537,"@shopDisney Do you have an option to mix and match masks? Like still order four, but select four different ones?",_LadyAlejandro_,"Los Angeles, CA",2020-06-07,4
536,"#AD
There's 30% off large cuddleez at the moment online at shopDisney - including this huge Rex!
&gt;&gt;&gt;… https://t.co/WinqkMOqEQ",TLittleBargainH,United Kingdom,2020-06-07,0
535,✨Orders are now open for July Shipping! ✨order now at https://t.co/Rf88KEC0ff #disneymysterybox #disneyprincesses… https://t.co/NMHqHDPqyd,mypixiedustuk,United Kingdom,2020-06-07,0
534,"@LegsLilacs @Disney @Disney_UK @frozenlondon @DisneyFrozen @FrozenBroadway @idinamenzel @shopDisney Brilliant,.👏👍",Johnmcc06501251,"Dublin City, Ireland",2020-06-07,4
533,Never thought I'd see the day that I'd struggle to find £20 worth of stuff I wanted to buy from ShopDisney.,elstoleno,"Sunderland, UK",2020-06-07,0
540,"@MaraRanger you can get a 4 pack of Star Wars masks (with this design and 3 others) for less money, and much better… https://t.co/IE5rcs6zWL",Wembley138,SoCal.,2020-06-07,4
459,#shopDisneySupport @shopDisney  received my online order and it still has the security tags attached 😵😫 https://t.co/MW43zm2k5a,Ashlih23,N 53°41' 0'' / W 2°42' 0'',2020-06-08,0
460,@OllyDisney @Disney @shopDisney @NBA @WDWToday I know right,CubantiaLibre,Oviedo (Asturias) Spain,2020-06-08,4
461,I need these on real basketball jerseys! 😱 😍 👌🏻 🏰 🏀 @disney @shopDisney @NBA @WDWToday https://t.co/uFFF748M3L,OllyDisney,,2020-06-08,0
462,Happy Merch Monday Weeklyteers! Have you checked out the new Rainbow Disney collection on shopDisney!? They have so… https://t.co/09YmEFyxDe,DLWeekly,"Anaheim, CA",2020-06-08,4
463,@KarlOgden Thanks for reaching out to us! I've sent you a direct message to further assist you. -Joanna,shopDisney,Second star to the right,2020-06-08,4
464,"@y0soygladys Oh, no! I'm so sorry, Gadys. I'd be more than happy to assist you. Please email us at personal.shopper… https://t.co/V8gajLtdsq",shopDisney,Second star to the right,2020-06-08,0
465,"Look as fresh-faced as Ariel the Little Mermaid with the H2O+ line. 🌊 Plus, get H2O+'s 3-step Hydration System with… https://t.co/wuCxT3rhSK",disney_dooney,,2020-06-08,4
469,There's a better chance I'll become a Disney Princess universe guru than shopDisney offering an RFID-blocking men's… https://t.co/NEPU2JPSwP,MouseTransit,"Orlando, Florida",2020-06-08,4
467,"Shop Disney UK has added to it's range of merchandise from Disneyland Paris 2/2
https://t.co/jx3QbmskFz https://t.co/FkuflhKcYf",TDRTweets,United Kingdom,2020-06-08,4
468,"Shop Disney UK has added to it's range of merchandise from Disneyland Paris 1/2
https://t.co/jx3QbmskFz https://t.co/D4MfrE27Mq",TDRTweets,United Kingdom,2020-06-08,4
470,"Frozen Stationery Supply Kit
❄$14
❄https://t.co/cPqWWhTBoP",AE_Arendelle,,2020-06-08,0
471,"Elsa and The Water Nokk Pencil Case – Frozen 2❄$12.99
❄https://t.co/ADjBMEbudP",AE_Arendelle,,2020-06-08,0
472,"Frozen Arendelle Playhouse
$499.99
❄https://t.co/JLYcdtPxcr",AE_Arendelle,,2020-06-08,0
473,If you haven’t already take a watch of our recent @boohooMAN @shopDisney Haul! We got some awesome items 😍… https://t.co/t3uFrOE0lO,TheAnRLife,"Winchester, England",2020-06-08,4
458,Today was supposed to be our last day in ⁦@WaltDisneyWorld⁩ before heading to Vegas for the 2nd stage of the honeym… https://t.co/rE9e4OygoA,LeeJnes,,2020-06-08,0
466,"@kanecaswell Thanks for asking, Kane! Each store will vary. Please refer to the Store Locator page for the latest i… https://t.co/IiS02zDiGo",shopDisney,Second star to the right,2020-06-08,4
456,@Jralexandr @FatKidDeals https://t.co/fkfCFhDJ8p I don’t think it’s the D23 special edition though,Deanosaur71,Whittier.,2020-06-08,0
447,"Nice to see Eagle Creek on shopdisney, mind your National Geographic branded lol. 

Normally the Disney stuff is Am… https://t.co/J3KWewdq2Y",FiBelleFi,,2020-06-08,4
454,@shopDisney Hi I've not received a message #shopdisneysupport,Ashlih23,N 53°41' 0'' / W 2°42' 0'',2020-06-08,4
438,i finally got my bespin mug 🥺🥺🥺🥺🥺 it’s so pretty i think spending hours on the shopdisney site on may 4th was worth it,lovealicias,az,2020-06-08,4
439,@pandasadventur1 @boohooMAN @shopDisney Haha aw thank you so much for watching 🥰 obvs has to be a Disney outfit 😉… https://t.co/T1ViCnxz17,TheAnRLife,"Winchester, England",2020-06-08,4
440,@DisneyPinsBlog any idea what LE pins will be released at shopDisney this month (June)?,rawrawrawmama,,2020-06-08,4
441,"Updated my 2020 Disney Pin board! Pins got here today! WooT!
Thank you @shopDisney and @DisneyPinsBlog for all of t… https://t.co/7IjuwWzTGm",KellyMWilder,"Dallas, TX",2020-06-08,4
442,@TheAnRLife @boohooMAN @shopDisney I suppose so 🤔 haha great vlog though - worked for me I ordered from them - and… https://t.co/HITHFWWQLC,pandasadventur1,"East Midlands, England",2020-06-08,4
443,@pandasadventur1 @boohooMAN @shopDisney We’re sorry 🤣🤣🤣 Money well spent as I’m sure you’ll agree tho right? 😉😂😂,TheAnRLife,"Winchester, England",2020-06-08,0
444,@TheAnRLife @boohooMAN @shopDisney You made me spend money after watching this ......,pandasadventur1,"East Midlands, England",2020-06-08,4
455,"@Ashlih23 Oh, no! I'm so sorry, Ashley. I'd be more than happy to look into this for you. I've sent you a direct me… https://t.co/azDcNSEgpY",shopDisney,Second star to the right,2020-06-08,0
445,"SHOP: New Pirates of the Caribbean Loungefly Mini Backpack Sails Into shopDisney

https://t.co/hNymRiJlLp https://t.co/V2rK20rQNA",WDWNT,"Orlando, FL",2020-06-08,4
474,@shopDisney Thank you I have emailed today.,SpadgeeYoung,,2020-06-08,4
448,"40% Off Disney 'Dream Big Dress-Up' Sale

Shop Now: https://t.co/vw2eUI4Vcp https://t.co/WM05TSEvxe",DealsPlus,"California, USA",2020-06-08,4
449,wish @shopDisney still did cups like this https://t.co/gaLv28uxKw,okayitslauren,,2020-06-08,0
450,"@TheLadyLysy Thank you so much, Ann! I will pass along the message. If you need any further assistance, please don'… https://t.co/Owkn5t6Nnj",shopDisney,Second star to the right,2020-06-08,4
451,"@valantis87 I'm so sorry. Regrettably, we don't have the option to direct message you. Please email us at personal.… https://t.co/cjGSLq4gnE",shopDisney,Second star to the right,2020-06-08,0
452,"@valantis87 Thank you for reaching out to us, Chrisovalantis! I'd be more than happy to assist you. I've sent you a… https://t.co/njbkrVvrlv",shopDisney,Second star to the right,2020-06-08,4
453,@shopDisney please pass on a major #castcompliment to Tiare on your customer service team! She got my new Spike mug… https://t.co/89hnOaDTsv,TheLadyLysy,"Chicago, IL",2020-06-08,0
446,To the companies offering discount codes on Mumsnet. Are you aware that Mumsnet accomodates views like this?… https://t.co/B5akYAdi9p,wokinggirl1,At home,2020-06-08,4
475,Mickey Mouse Parts items including packing cubes available on shopdisney #disney #shopdisney #mickeymouse https://t.co/h3uiKodt2a,DizThruBrwnEyes,"Atlanta, GA",2020-06-08,0
457,I am not buying any more pins from @shopDisney until their packaging is done better. Cancelled orders. Missing orde… https://t.co/91kHOdvACS,ThisIsJordanKay,"Grand Rapids, MI",2020-06-08,0
477,"Backpacks, lunch totes, and stationery sets are available on shopdisney #disney #shopdisney #starwars… https://t.co/U2kBNMyLpN",DizThruBrwnEyes,"Atlanta, GA",2020-06-08,4
498,@acrossthestars @Starbucks @shopDisney It’s so beautiful omg,rileyanntoine,SoCal,2020-06-08,4
499,@acrossthestars @Starbucks @shopDisney if only it wasn't so limited 😭,KyloTom,"Broken Arrow, OK",2020-06-08,0
500,"@blockheadjorge Thanks for inquiring. Our stock is replenished often, please check https://t.co/Lz8RwCHLzz for daily updates. ^KG",shopDisney,Second star to the right,2020-06-08,4
501,@ValerieGoGo1 @Starbucks @shopDisney Hopefully they will be re-stocked and also available at the parks.,acrossthestars,"California, USA",2020-06-08,0
502,"@bobafettfanclub @Starbucks @shopDisney Oh, I bet! I haven't looked at them individually but I saw a listing for al… https://t.co/uQ1Jdu127K",acrossthestars,"California, USA",2020-06-08,0
503,"@acrossthestars @Starbucks @shopDisney Buying these was the worst experience ever, but hey it paid off, right?",moonman9419,"Rochester, NY",2020-06-08,0
504,@acrossthestars @Starbucks @shopDisney The re-sale price for the Bespin one on eBay is... crazy. CRAZY expensive.,bobafettfanclub,bobafett.com,2020-06-08,0
497,@acrossthestars @Starbucks @shopDisney Do you know if it’s still for sale??  I couldn’t find it 😬😬,TheColorfulGeek,"New York, NY",2020-06-08,0
505,"@MrsHampshire Hi, InHabitshire.  We are so sorry for your inconvenience. Please try checking out as a Guest. If thi… https://t.co/oEJH4fAKIi",shopDisney,Second star to the right,2020-06-08,4
508,"@Ancefan87Tr Oh, no!  We are so sorry to hear this, Bhavna. Please email your order number to Personal.shoppers@sho… https://t.co/fVp0VuRzNx",shopDisney,Second star to the right,2020-06-08,0
509,"@_LadyAlejandro_ Thanks for inquiring, Lady Alejandro. We are so sorry, but we do not have the option to mix and match masks. ^KG",shopDisney,Second star to the right,2020-06-08,4
510,This mug by @Starbucks which was sold on the @shopDisney website features all of the elements that I love about the… https://t.co/C8F3sWFy8e,acrossthestars,"California, USA",2020-06-08,0
511,@shopDisney Thank you. I have my reminders set.,LLife71,,2020-06-08,4
512,"@LLife71 Hi, LostBoyLife71. Yes that is correct. ^KG",shopDisney,Second star to the right,2020-06-08,4
476,Marvel adult shirts available on shopdisney #disney #shopdisney #marvel #teachers https://t.co/jKVnxg43Fp,DizThruBrwnEyes,"Atlanta, GA",2020-06-08,0
513,"@unprivatealexa Thanks for your patience, Alex. Your order is expected to ship this month. You will receive an emai… https://t.co/WNYJl0yHBw",shopDisney,Second star to the right,2020-06-08,4
507,@acrossthestars @Starbucks @shopDisney I wanted to get these so bad.😕,ValerieGoGo1,The City of Angels ,2020-06-08,0
496,"@TheColorfulGeek @Starbucks @shopDisney No, it's sold out :( Hopefully they will be re-stocked soon.",acrossthestars,"California, USA",2020-06-08,0
506,@shopDisney placed an order 5/30 and it still shows it’s processing 😩,DOODEKINS00,"SACRAMENTO, CA",2020-06-08,0
494,@TheColorfulGeek @acrossthestars @Starbucks @shopDisney Ours are on backorder until August,JabberingJawas,Tatooine,2020-06-08,0
479,@shopDisney hi I need help with something can you follow me so I can DM you?,KarlOgden,"Bristol, United Kingdom.",2020-06-08,4
478,So I’ve got a lost parcel from @hmunitedkingdom thanks to @YodelOnline I’ve got broken products from #ShopDisney &amp;… https://t.co/KO8CcpKW8q,catherinef2008,england,2020-06-08,0
495,@acrossthestars @Starbucks @shopDisney They should have never had a 10 qty buying limit. It should have been a 2 mu… https://t.co/zP2SL6g6Xz,mseveyvee,,2020-06-08,0
480,"@StarWarsSucker @acrossthestars @Starbucks @shopDisney Same, will be hopping on the next set tho!",Prefect_Timing,"Burntwood, England",2020-06-08,0
481,@acrossthestars @Starbucks @shopDisney Absolutely love that mug!!! Couldn't find a way of getting one in the UK 😥,StarWarsSucker,"England, United Kingdom",2020-06-08,0
482,@DLPHelp @vanitynightmare @DisneyParis_EN @Disney @shopDisney @WHO Miranda Why did you ignore my request to sandwic… https://t.co/QiatkPxQIc,LouiseS67992560,Enfield,2020-06-08,0
484,"@shopDisney shipped my Star Wars mugs but as usual, they screwed up the shipping address.

BECAUSE THEY CANT SEEM T… https://t.co/jhon1T3kaJ",y0soygladys,Alderaan,2020-06-08,0
485,shopDisney Star Wars Face Masks 4 Set Pre-Order $19.99  Free Shipping from shop Disney https://t.co/Ie3VtsmnTx,BuyVia,"San Mateo, CA",2020-06-08,4
483,"@acrossthestars @Starbucks @shopDisney Sweet!!! So jealous, they sold out before I could finish checking out that day. Very cool!!!",CmunkyBizzness,Eastern NC,2020-06-08,4
487,"@acrossthestars @Starbucks @shopDisney Love this mug and the Bespin one. What an adventure getting them, though!  H… https://t.co/eD5UXBePni",ourobomaos,"Seattle, WA",2020-06-08,4
488,"@shopDisney hi, with Ireland reopening, is the Disney store in grafton Street open today or at some other stage?",kanecaswell,Dublin Ireland,2020-06-08,4
489,@acrossthestars @Starbucks @shopDisney I was able to backorder this one! I'm very excited to get it.,ganocj,New Jersey,2020-06-08,4
490,@acrossthestars @Starbucks @shopDisney I love it!!! Want it!!!,peacelove_SW,,2020-06-08,4
491,Dear @shopDisney can you please start selling android cases i really dont want an i phone love dru,BitchyDruKilla,707 nigga alwayz,2020-06-08,0
486,I saw new pin trading lanyard which is now available at ShopDisney and Disney Parks and there's a card holder on it… https://t.co/ksmmiFpwyT,BB_RoyalSt_TDL,Vulcania,2020-06-08,0
493,"@JabberingJawas @TheColorfulGeek @Starbucks @shopDisney Oh, wow! This is the first I'm hearing about backorders.",acrossthestars,"California, USA",2020-06-08,0
492,"@acrossthestars @TheColorfulGeek @Starbucks @shopDisney I mean, it’s possible that they may cancel the order, but i… https://t.co/8YkAkn1mVi",JabberingJawas,Tatooine,2020-06-08,0
362,@thepascalorian got mine at shopdisney!! https://t.co/2Em0s6XeqL,diindjarin,pedro pascal ♡,2020-06-09,4
368,@shopDisney is the June Minnie Mouse Main attraction set going to be sold online 20 June?  I didn't see it listed in upcoming arrivals.,DarkKnightOkSt,,2020-06-09,0
361,The new Minnie Mouse collection was just spotted @shopdisney! Head to https://t.co/a2hLyIYHKo today!🔴⚪️🔴 #Loungefly… https://t.co/19aHQTyith,Loungefly,Los Angeles,2020-06-09,4
367,New Loungefly Pirates of the Caribbean Mini Backpack Now on shopDisney - https://t.co/Rx8cUxGXDA https://t.co/muJ8jkKBC9,mydisneydorks,,2020-06-09,4
364,"@onceuponagracey Thanks for reaching out to us, Grace! I'd be more than happy to assist you. Yes, the pre-orders wi… https://t.co/rKOcl4hBna",shopDisney,Second star to the right,2020-06-09,4
365,"***New Deal***
Positively PIXAR Sale at Shop Disney: Save on Fan-Favorites From Only $2.79
https://t.co/rWjC4NdgBl… https://t.co/gGdwJx5Tyq",TheInStockRoom,⬇️Latest Deals⬇️HappySavings⬇️,2020-06-09,4
363,"@DarkKnightOkSt Thanks for reaching out to us, Grant! Yes, the release for the Minnie Mouse collection is scheduled for 6/20. -Joanna",shopDisney,Second star to the right,2020-06-09,4
369,@shopDisney You literally said the same thing of the previous comment.,vannenanne,"Calexico, CA",2020-06-09,4
366,"@shopDisney  #shopDisneySupport hi, I want to know about order number 5008040660",LuisFerVillegas,"Santa María de los Ángeles, Ja",2020-06-09,4
370,"@vannenanne Thanks for reaching out to us, Vanessa! We are planning to continue releasing the Castle Collection. Ho… https://t.co/vuz7oZ3pi1",shopDisney,Second star to the right,2020-06-09,4
378,@shopDisney Hi thanks for replying.  Is there a reason that it was released today in the UK and not in the US?,vannenanne,"Calexico, CA",2020-06-09,4
372,@DisneyPinsBlog Please put this on ShopDisney.,TnAdct1,"Clinton, MD",2020-06-09,4
373,@shopDisney Hello! Do you have an updated ETA on masks if you ordered on the first day they were released? I feel l… https://t.co/gmRcm2KvYt,onceuponagracey,17 Cherry Tree Lane,2020-06-09,4
374,I’ve been waiting until Donald Duck Day to wear this shirt. #DonaldDuck #BenDayDots #PopArt #shirt #photo… https://t.co/DUFaDuXsUk,MicrophoneDown,Arizona,2020-06-09,4
375,i haven’t ordered anything from shopdisney in forever...i should change that,runawayrailways,arendelle,2020-06-09,0
376,@Hesti4EverAP @DisneyPinsBlog @shopDisney US TOO! That movie wrecked me lol,KellyMWilder,"Dallas, TX",2020-06-09,4
377,"@shopDisney added the disney parks monopoly to my cart this morning, seconds later when attempting to check out, it… https://t.co/UoSWQugAxS",nickdean707,"Anaheim, CA",2020-06-09,4
379,"@vannenanne Thanks for reaching out to us, Vanessa! We are planning to continue releasing the Castle Collection. Ho… https://t.co/7DQhYK5CTq",shopDisney,Second star to the right,2020-06-09,4
380,"@KellyMWilder @DisneyPinsBlog @shopDisney Yay, I’m so glad!! Absolutely! Love that fire and spirit!! 🔥👍 Onwards and… https://t.co/DAY1gZNUk8",Hesti4EverAP,United States,2020-06-09,4
381,"@Hesti4EverAP @DisneyPinsBlog @shopDisney Thank you so much hon!
I’m doing GREAT! I was very lucky.  Onwards and upwards! 😎👍😍",KellyMWilder,"Dallas, TX",2020-06-09,4
360,"@LuisFerVillegas Thanks for reaching out to us, Luis! I'd be more than happy to assist you. I've responded to a mes… https://t.co/dpvKYaNtPb",shopDisney,Second star to the right,2020-06-09,4
382,@KellyMWilder @DisneyPinsBlog @shopDisney Please DM me and send your traders! 😊,Hesti4EverAP,United States,2020-06-09,4
371,"Day 86: ✨MAGIC MAIL✨ again, oops! I really should deleted the ShopDisney app off my phone but PUZZLES 💖🥺 https://t.co/dm7UZTHqEF",TimothyJacquez,"Winter Garden, FL",2020-06-09,0
359,My super is not in his office and the door is wide open and packages are in there but he is not in there and my pac… https://t.co/OsKu9gIh2q,spooloflies,New York City,2020-06-09,0
340,@EmBearpark @shopDisney Love!!!,clarisselou,London,2020-06-09,4
357,@spooloflies @shopDisney A different but related topic: did you get your Collector Corp box?,RandomPenguin,,2020-06-09,4
